Statistic,Target_Mean,Target_SD,Sim_Mean,Sim_SD,Sim_95_Lower,Sim_95_Upper,Z_Score
Mean Degree,13.534972682171498,0.09568020873374862,13.667325714285715,1.0281443885681252,11.90475,16.0045,-0.12873000483768868
Log Variance,4.721233560968067,0.01874929071519523,4.746495868471785,0.1984106605010308,4.398035161800182,5.156855305876863,-0.1273233375662596
Mean Age Diff,15.168801894261987,0.1167027947160402,15.160049912280257,0.28711502313917703,14.632862717668733,15.709019784081736,0.030482494040332472
Prop MM,0.26065525442426085,0.004469143823028177,0.2595383670787596,0.018789443221149185,0.22240068492496914,0.2964945131210666,0.05944228002690861
Prop FF,0.3037588738774552,0.004559312443890973,0.30574069285225014,0.02024127029535617,0.2674126268848377,0.34817877170730066,-0.0979098122734724
